name	subsystem	count	max_count	min_count	avg_count
lock_row_lock_current_waits	lock	0	5	NULL	0
lock_row_lock_time	lock	3654052	3654052	NULL	74.01361150496253
lock_row_lock_waits	lock	1100	1100	NULL	0.022280737289852137
buffer_pool_reads	buffer	17628595	17628595	NULL	357.07099453109174
buffer_pool_read_requests	buffer	62764012	62764012	NULL	1271.2986023901155
buffer_pool_write_requests	buffer	10367755	10367755	NULL	210.0011140368645
buffer_pool_wait_free	buffer	486026	486026	NULL	9.844561474579704
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3543	3543	NULL	0.07176422928904193
buffer_pages_created	buffer	20902	20902	NULL	0.4233745189386267
buffer_pages_written	buffer	3715647	3715647	NULL	75.26123151711566
buffer_pages_read	buffer	18128385	18128385	NULL	367.1943487948147
buffer_data_reads	buffer	297017249792	297017249792	NULL	6016148.466518128
buffer_data_written	buffer	122516865536	122516865536	NULL	2481605.5405306867
os_data_reads	os	18093312	18093312	NULL	366.4839376139356
os_data_writes	os	4200096	4200096	NULL	85.073850516508
os_data_fsyncs	os	948638	948638	NULL	19.214867328337046
os_log_bytes_written	os	763214336	763214336	NULL	15459.071014786308
os_log_fsyncs	os	139040	139040	NULL	2.8162851934373103
os_log_pending_fsyncs	os	0	1	0	0
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1896376	1896376	NULL	38.41150496252785
log_writes	recovery	138056	138056	NULL	2.7963540611707516
adaptive_hash_searches	adaptive_hash_index	69144	69144	NULL	1.4005266356086692
ibuf_merges_insert	change_buffer	603177	603177	NULL	12.217480251164675
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	524232	524232	NULL	10.618432246303422
ibuf_size	change_buffer	1	269	NULL	0.000020255215718047397
innodb_activity_count	server	6104095	6104095	NULL	123.63976098845453
innodb_dblwr_writes	server	521924	521924	NULL	10.571683208426169
innodb_dblwr_pages_written	server	3715647	3715647	NULL	75.26123151711566
innodb_rwlock_s_spin_waits	server	1799903	1799903	NULL	36.45742353656066
innodb_rwlock_x_spin_waits	server	63998	63998	NULL	1.2962932955235973
innodb_rwlock_s_spin_rounds	server	74692066	74692066	NULL	1512.9039092566336
innodb_rwlock_x_spin_rounds	server	7442350	7442350	NULL	150.74640469921005
innodb_rwlock_s_os_waits	server	2302258	2302258	NULL	46.63273242860036
innodb_rwlock_x_os_waits	server	232589	232589	NULL	4.7111403686449265
dml_reads	dml	5656912	5656912	NULL	114.58197285801094
dml_inserts	dml	662162	662162	NULL	13.4122341502937
dml_deletes	dml	50960	50960	NULL	1.0322057929916955
dml_updates	dml	1324847	1324847	NULL	26.83506177840794
lock_row_lock_current_waits	lock	0	5	NULL	0
lock_row_lock_time	lock	3654052	3654052	NULL	73.99862292426083
lock_row_lock_waits	lock	1100	1100	NULL	0.02227622519238558
buffer_pool_reads	buffer	17628595	17628595	NULL	356.9986836776023
buffer_pool_read_requests	buffer	62764012	62764012	NULL	1271.0411502632644
buffer_pool_write_requests	buffer	10367755	10367755	NULL	209.95858647225597
buffer_pool_wait_free	buffer	486026	486026	NULL	9.842567841231268
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3543	3543	NULL	0.07174969623329283
buffer_pages_created	buffer	20902	20902	NULL	0.4232887808829486
buffer_pages_written	buffer	3715647	3715647	NULL	75.24599027946537
buffer_pages_read	buffer	18128385	18128385	NULL	367.1199878493317
buffer_data_reads	buffer	297017249792	297017249792	NULL	6014930.12944512
buffer_data_written	buffer	122516865536	122516865536	NULL	2481102.9877683274
os_data_reads	os	18093312	18093312	NULL	366.4097205346294
os_data_writes	os	4200096	4200096	NULL	85.05662211421628
